,player_id,actual_name,twitter_handle,position,height,height_inches,feet,inches,weight,shooting_hand,college,high_school,draft_team,draft_position,overall_pick,draft_round,round_pick,nba_debut,experience,nba_years,birthdate,birthyear,age,exact_age,birthplace,birthcity,birthstate,birthcountry,high_school_location,high_school_city,high_school_state,numbers,contract_terms,teams_colors,player_url,scrape_date
acyqu01,acyqu01,Quincy Jyrome Acy,@QuincyAcy,Power Forward-Small Forward,6'7,79,6,7,233,Right,Baylor University,Mesquite Horn,Toronto Raptors,2nd round 7th pick 37th overall,37,2,7,11/7/12,1 year,1,10/6/90,1990,23,23y 0m 62d 6H 0M 0S,"Tyler, Texas",Tyler,Texas,USA,"Mesquite, Texas",Mesquite,Texas,4,"Signed July 15, 2012 for an assumed $2,369,115 for 3 years.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2013-2014",http://www.basketball-reference.com/players/a/acyqu01.html,12/7/13 15:54
adamsst01,adamsst01,Steven Funaki Adams,,Center,7'0,84,7,0,250,Right,University of Pittsburgh,Notre Dame Preparatory School,Oklahoma City Thunder,1st round 12th pick 12th overall,12,1,12,NA,Rookie,0,7/28/93,1993,20,20y 0m 132d 0H 0M 0S,"Rotorua, New Zealand",Rotorua,,New Zealand,"Fitchburg, Massachusetts",Fitchburg,Massachusetts,12,"Signed July 12, 2013.","poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2014",http://www.basketball-reference.com/players/a/adamsst01.html,12/7/13 15:54
adrieje01,adrieje01,Jeff Adrien,@Adrien4,Power Forward,6'7,79,6,7,243,Right,University of Connecticut,Brewster Academy,,,,,,10/27/10,3 years,3,2/10/86,1986,27,27y 0m 300d 6H 0M 0S,"Brookline, Massachusetts",Brookline,Massachusetts,USA,"Wolfeboro, New Hampshire",Wolfeboro,New Hampshire,4;8;4,"Signed December 9, 2012 for an assumed minimum salary for 2 years.  2013-14 is not guaranteed.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2011-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#add8e6;-Charlotte Bobcats, 2013-2014",http://www.basketball-reference.com/players/a/adrieje01.html,12/7/13 15:54
afflaar01,afflaar01,Arron Agustin Afflalo,@arronafflalo,Shooting Guard-Small Forward,6'5,77,6,5,215,Right,"University of California, Los Angeles",Centennial,Detroit Pistons,1st round 27th pick 27th overall,27,1,27,11/1/07,6 years,6,10/15/85,1985,28,28y 0m 53d 0H 0M 0S,"Los Angeles, California",Los Angeles,California,USA,"Compton, California",Compton,California,28;6;4,"Signed December 19, 2011 for an assumed $36,750,000 plus incentives for 5 years.  2013-14, 2014-15 and 2015-16 each include $437,500 in likely incentives.  2015-16 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2008-2009-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2010-2012-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2013-2014",http://www.basketball-reference.com/players/a/afflaar01.html,12/7/13 15:54
aldrico01,aldrico01,Cole David Aldrich,@colea45,Center,6'11,83,6,11,245,Right,University of Kansas,Thomas Jefferson,New Orleans Hornets,1st round 11th pick 11th overall,11,1,11,10/31/10,3 years,3,10/31/88,1988,25,25y 0m 36d 18H 0M 0S,"Burnsville, Minnesota",Burnsville,Minnesota,USA,"Bloomington, Minnesota",Bloomington,Minnesota,45;31;45;45,"Signed September 23, 2013 for an assumed minimum salary for 1 year.  Contract is not guaranteed.","poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2011-2012-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2013-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2013-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2014",http://www.basketball-reference.com/players/a/aldrico01.html,12/7/13 15:54
aldrila01,aldrila01,LaMarcus Nurae Aldridge,@aldridge_12,Power Forward-Center,6'11,83,6,11,240,Right,University of Texas at Austin,Seagoville,Chicago Bulls,1st round 2nd pick 2nd overall,2,1,2,11/12/06,7 years,7,7/19/85,1985,28,28y 0m 141d 0H 0M 0S,"Dallas, Texas",Dallas,Texas,USA,"Seagoville, Texas",Seagoville,Texas,12,"Extension signed October 22, 2009 for an assumed $62,500,000 plus incentives for 5 years starting in 2010-11.  2013-14 and 2014-15 each have up to $250,000 in unlikely incentives not included here.  2013-14 and 2014-15 each include $750,000 in likely incentives.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2007-2014",http://www.basketball-reference.com/players/a/aldrila01.html,12/7/13 15:54
allenla01,allenla01,Lavoy Allen,@mr_5hundred,Power Forward-Center,6'9,81,6,9,225,Right,Temple University,Pennsbury,Philadelphia 76ers,2nd round 20th pick 50th overall,50,2,20,1/7/12,2 years,2,2/4/89,1989,24,24y 0m 306d 0H 0M 0S,"Morrisville, Pennsylvania",Morrisville,Pennsylvania,USA,"Fairless Hills, Pennsylvania",Fairless Hills,Pennsylvania,50,"Signed July 11, 2012 for an assumed $6,060,000 for 2 years.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Philadelphia 76ers, 2012-2014",http://www.basketball-reference.com/players/a/allenla01.html,12/7/13 15:54
allenra02,allenra02,Walter Ray Allen,,Shooting Guard,6'5,77,6,5,205,Right,University of Connecticut,Hillcrest,Minnesota Timberwolves,1st round 5th pick 5th overall,5,1,5,11/1/96,17 years,17,7/20/75,1975,38,38y 0m 140d 12H 0M 0S,"Merced, California",Merced,California,USA,"Dalzell, South Carolina",Dalzell,South Carolina,34;34;20;34,"Signed July 11, 2012 for an assumed $6,319,050 for 2 years.  Contract includes a 15% trade kicker.  Player Option for 2013-14 was picked up on June 28, 2013.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#006400;-Milwaukee Bucks, 1997-2003-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ffd700;-Seattle SuperSonics, 2003-2007-poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2008-2012-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2013-2014",http://www.basketball-reference.com/players/a/allenra02.html,12/7/13 15:54
allento01,allento01,Anthony Allen,@aa000G9,Shooting Guard-Point Guard,6'4,76,6,4,213,Right,Oklahoma State University,Crane Technical Preparatory,Boston Celtics,1st round 25th pick 25th overall,25,1,25,11/3/04,9 years,9,1/11/82,1982,31,31y 0m 330d 6H 0M 0S,"Chicago, Illinois",Chicago,Illinois,USA,"Chicago, Illinois",Chicago,Illinois,42;9,"Signed July 13, 2013 for an assumed $20,000,000 for 4 years.","poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2005-2010-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2011-2014",http://www.basketball-reference.com/players/a/allento01.html,12/7/13 15:54
aminual01,aminual01,Al-Farouq Aminu,@farouq1,Small Forward,6'9,81,6,9,215,Right,Wake Forest University,Norcross,Los Angeles Clippers,1st round 8th pick 8th overall,8,1,8,10/27/10,3 years,3,9/21/90,1990,23,23y 0m 77d 6H 0M 0S,"Atlanta, Georgia",Atlanta,Georgia,USA,"Norcross, Georgia",Norcross,Georgia,3;0;0,"Signed July 10, 2013 for an assumed $3,700,000 for 1 year.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2011-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2012-2013-poptip uni_square-color:#ffffff;background-color:#00008b;border-color:#ffd700;-New Orleans Pelicans, 2014",http://www.basketball-reference.com/players/a/aminual01.html,12/7/13 15:54
