teamid,season,leagueid,player,num,position,height,weight,birth_date,age,exp,school,player_id,first_name,last_name,team,gp,min,catch_shoot_pts,catch_shoot_fgm,catch_shoot_fga,catch_shoot_fg_pct,catch_shoot_fg3m,catch_shoot_fg3a,catch_shoot_fg3_pct,catch_shoot_efg_pct,catch_shoot_pts_tot,blk,stl,fgm_defend_rim,fga_defend_rim,fgp_defend_rim,blk_tot,dvs,dpp,dtp,drives_fg_pct,pts_48,dpp_tot,dvs_tot,pass,ast,ast_ft,ast_sec,ast_pot,pts_crt,pts_crt_48,ast_tot,pull_ups_pts,pull_ups_fgm,pull_ups_fga,pull_ups_fg_pct,pull_ups_fg3m,pull_ups_fg3a,pull_ups_fg3_pct,pull_ups_efg_pct,pull_ups_pts_tot,reb,reb_chance,reb_col_pct,reb_contested,reb_uncontested,reb_uncontested_pct,reb_tot,oreb,oreb_chance,oreb_col_pct,oreb_contested,oreb_uncontested,oreb_uncontested_pct,dreb,dreb_chance,dreb_col_pct,dreb_contested,dreb_uncontested,dreb_uncontested_pct,shooting_pts,pts_drive,fgp_drive,pts_close,fgp_close,pts_catch_shoot,fgp_catch_shoot,pts_pull_up,fgp_pull_up,fga_drive,fga_close,fga_catch_shoot,fga_pull_up,shooting_efg_pct,cfgm,cfga,cfgp,ufgm,ufga,ufgp,cfg3m,cfg3a,cfg3p,ufg3m,ufg3a,ufg3p,dist,av_spd,dist_pg,dist_48,dist_off,dist_def,av_spd_off,av_spd_def,tch,fc_tch,top,cl_tch,el_tch,pts,pts_tch,pts_hcct,tch_tot
1610612751,2014-15,00,Kevin Garnett,2,F-C,83,253,1976-05-19T07:00:00.000Z,38,19,Farragut Academy HS (CHI),708,Kevin,Garnett,BKN,11,24.4,2.5,1.3,3.3,0.389,0,0.1,0,0.389,28,0.3,0.5,3,5.3,0.569,3,0.5,0.7,0.7,0.5,1.4,8,6,40.2,1.9,0.1,0.5,3.9,4.5,8.8,21,1.3,0.6,1.5,0.438,0,0.1,0,0.438,14,8.5,11.6,.734,2.8,5.7,.330,94,1.1,1.6,.667,0.9,0.2,.833,7.5,10,.745,1.9,5.5,.256,7.6,0.7,0.5,2.4,0.5,2.5,0.389,1.3,0.438,0.4,1.8,3.3,1.5,0.456,0,0,,0,0,,0,0,,0,0,,17.9,4,1.6,3.2,9.6,8.3,0,0,49.8,22,1,3.5,3.7,7.6,0.153,0.3,548
1610612747,2014-15,00,Steve Nash,10,G,75,180,1974-02-07T07:00:00.000Z,40,18,Santa Clara,959
1610612747,2014-15,00,Kobe Bryant,24,G,78,212,1978-08-23T07:00:00.000Z,35,18,Lower Merion HS (PA),977,Kobe,Bryant,LAL,12,35.5,3.8,1.5,5.1,0.295,0.8,3,0.278,0.377,46,0.2,1.4,1.5,2.2,0.667,3,6.6,5.1,8,0.432,6.9,61,79,28.5,4,0.3,0.5,8.3,9,12.2,48,9.2,4.2,11.4,0.372,0.8,3.2,0.237,0.405,111,5.1,8.8,.581,1.3,3.8,.262,61,0.6,2,.292,0.4,0.2,.714,4.5,6.8,.667,0.9,3.6,.204,27.5,5.1,0.432,1,0.25,3.8,0.295,9.2,0.372,3.7,1,5.1,11.4,0.426,0,0,,0,0,,0,0,,0,0,,27.3,3.8,2.3,3.1,14.8,12.5,0,0,61.2,55.2,4.6,1.7,3.5,27.5,0.45,0.5,734
1610612759,2014-15,00,Tim Duncan,21,F,83,250,1976-04-25T08:00:00.000Z,38,17,Wake Forest,1495,Tim,Duncan,SAS,10,30.9,1.4,0.7,1.8,0.389,0,0,,0.389,14,1.7,0.9,4,8.6,0.465,17,0.7,0.4,0.8,0.667,0.6,4,7,45.7,2.4,0.3,1.2,5,5.3,8.2,24,0.4,0.2,1.3,0.154,0,0,,0.154,4,10.7,15.4,.695,5,5.7,.467,107,2.3,3.5,.657,2,0.3,.870,8.4,11.9,.706,3,5.4,.357,14.5,0.4,0.667,6.8,0.512,1.4,0.389,0.4,0.154,0.3,4.3,1.8,1.3,0.451,0,0,,0,0,,0,0,,0,0,,19.6,3.8,2,3,10.8,8.8,0,0,63.9,40.4,1.9,9.8,6.3,14.5,0.227,0.4,639
1610612763,2014-15,00,Vince Carter,15,G-F,78,220,1977-01-26T08:00:00.000Z,37,16,North Carolina,1713,Vince,Carter,MEM,11,16.4,3.1,1.1,3.2,0.343,0.9,2.7,0.333,0.486,34,0.2,0.6,0.8,1.1,0.75,2,1.4,0.7,1.3,0.333,2.1,8,15,17.2,1.4,0.1,0.1,2.3,3.1,9.1,15,1.1,0.5,1.8,0.3,0,0.5,0,0.3,12,2.3,3.5,.641,0.6,1.6,.280,25,0.5,0.7,.625,0.2,0.3,.400,1.8,2.8,.645,0.5,1.4,.250,5.9,0.7,0.333,0,,3.1,0.343,1.1,0.3,0.8,0,3.2,1.8,0.418,0,0,,0,0,,0,0,,0,0,,12,4,1.1,3.2,6.6,5.4,0,0,25.7,19.6,0.7,0.4,1.3,5.9,0.23,0.3,283
1610612742,2014-15,00,Dirk Nowitzki,41,F,84,245,1978-06-19T07:00:00.000Z,36,16,Wurzburg Germany,1717,Dirk,Nowitzki,DAL,12,27.5,8.9,3.7,7.4,0.494,1.6,3.7,0.432,0.601,107,0.4,0.4,3.1,6.1,0.507,5,0.4,0.2,0.7,0.5,0.3,2,5,32.9,2.2,0.4,0.8,3.2,5.7,9.9,27,5.3,2.5,4,0.625,0.3,0.4,0.8,0.667,64,5.2,8.4,.624,1.7,3.6,.317,63,0.2,0.8,.333,0.1,0.2,.333,5,7.7,.652,1.6,3.4,.317,19.1,0.2,0.5,1.2,0.5,8.9,0.494,5.3,0.625,0.2,1,7.4,4,0.602,0,0,,0,0,,0,0,,0,0,,20.2,3.7,1.7,2.9,11.1,9.1,0,0,50.2,32.8,1.2,2.2,4.1,19.1,0.38,0.6,603
1610612764,2014-15,00,Paul Pierce,34,F,79,235,1977-10-13T07:00:00.000Z,36,16,Kansas,1718,Paul,Pierce,WAS,10,27.3,3.4,1.2,3.5,0.343,1,3.2,0.312,0.486,34,0.3,0.8,1.6,2.5,0.64,3,2.2,2,2.8,0.667,3.5,20,22,23.2,2.6,0.3,0.2,4.6,5.6,9.8,26,2.4,1.2,4.3,0.279,0,0.4,0,0.279,24,5.4,7.5,.720,1.1,4.3,.204,54,0.7,0.8,.875,0.4,0.3,.571,4.7,6.7,.701,0.7,4,.149,12.3,2,0.667,1,0.5,3.4,0.343,2.4,0.279,0.9,0.6,3.5,4.3,0.422,0,0,,0,0,,0,0,,0,0,,17.2,3.8,1.7,3,9.2,8.1,0,0,37.3,28.3,1.4,0.9,1.4,12.3,0.33,0.4,373
1610612741,2014-15,00,Nazr Mohammed,48,C,82,250,1977-09-05T07:00:00.000Z,36,16,Kentucky,1737,Nazr,Mohammed,CHI,1,1.2,0,0,0,,0,0,,,0,0,0,1,1,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,3.4,0.1,2.7,0,0,0,0,1,0,0,0,0,0,0,0,1
1610612737,2014-15,00,Elton Brand,7,F-C,81,254,1979-03-11T08:00:00.000Z,35,15,Duke,1882,Elton,Brand,ATL,2,10.4,2,1,1.5,0.667,0,0,,0.667,4,0.5,0.5,1,3,0.333,1,0.5,0.5,0.5,,2.3,1,1,11,1,0,0,2.5,2.5,11.5,2,1,0.5,0.5,1,0,0,,1,2,1.5,3.5,.429,0.5,1,.333,3,0,1.5,.000,0,0,,1.5,2,.750,0.5,1,.333,3.5,0.5,,1,1,2,0.667,1,1,0,0.5,1.5,0.5,0.75,0,0,,0,0,,0,0,,0,0,,1.4,4.1,0.7,3.3,0.7,0.7,0,0,15.5,8.5,0.4,2.5,1.5,3.5,0.226,0.4,31
1610612764,2014-15,00,Andre Miller,24,G,74,200,1976-03-19T08:00:00.000Z,38,15,Utah,1889,Andre,Miller,WAS,10,12.9,0,0,0.1,0,0,0.1,0,0,0,0,0.4,0.2,0.3,0.667,0,2.6,2.5,4.2,0.667,9.3,25,26,27.8,3,0.2,0.7,5.4,6.9,25.6,30,0.6,0.3,0.6,0.5,0,0,,0.5,6,1.5,2.8,.536,0.2,1.3,.133,15,0.4,1,.400,0.1,0.3,.250,1.1,1.8,.611,0.1,1,.091,3.5,2.5,0.667,0.2,1,0,0,0.6,0.5,1.5,0.1,0.1,0.6,0.538,0,0,,0,0,,0,0,,0,0,,8.7,4,0.9,3.2,5,3.6,0,0,33.7,29,3,0.4,0.2,3.5,0.104,0.1,337
